Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
64,11,3,86,3,Some Random Commen with Id 64
65,11,3,165,0,Some Random Commen with Id 65
66,11,3,108,9,Some Random Commen with Id 66
67,11,3,161,9,Some Random Commen with Id 67
68,11,3,15,4,Some Random Commen with Id 68
69,12,3,56,8,Some Random Commen with Id 69
70,12,3,112,9,Some Random Commen with Id 70
71,12,3,53,7,Some Random Commen with Id 71
72,12,3,32,7,Some Random Commen with Id 72
73,12,3,52,0,Some Random Commen with Id 73
74,12,3,192,8,Some Random Commen with Id 74
75,12,3,111,8,Some Random Commen with Id 75
76,12,3,34,3,Some Random Commen with Id 76
77,12,3,11,4,Some Random Commen with Id 77
78,14,6,59,2,Some Random Commen with Id 78
79,14,6,113,9,Some Random Commen with Id 79
80,14,6,66,1,Some Random Commen with Id 80
81,14,6,92,8,Some Random Commen with Id 81
82,15,0,62,6,Some Random Commen with Id 82
83,15,0,92,5,Some Random Commen with Id 83
84,15,0,124,4,Some Random Commen with Id 84
85,15,0,191,5,Some Random Commen with Id 85
86,16,9,144,5,Some Random Commen with Id 86
87,16,9,28,4,Some Random Commen with Id 87
88,17,8,133,1,Some Random Commen with Id 88
89,17,8,114,5,Some Random Commen with Id 89
90,17,8,47,9,Some Random Commen with Id 90
91,18,3,54,4,Some Random Commen with Id 91
92,18,3,35,6,Some Random Commen with Id 92
93,18,3,154,3,Some Random Commen with Id 93
94,18,3,110,8,Some Random Commen with Id 94
95,18,3,133,5,Some Random Commen with Id 95
96,18,3,89,9,Some Random Commen with Id 96
97,18,3,62,0,Some Random Commen with Id 97
98,19,0,64,6,Some Random Commen with Id 98
99,19,0,162,5,Some Random Commen with Id 99
100,19,0,92,2,Some Random Commen with Id 100
101,19,0,109,6,Some Random Commen with Id 101
102,19,0,130,9,Some Random Commen with Id 102
103,19,0,145,5,Some Random Commen with Id 103
104,19,0,15,5,Some Random Commen with Id 104
105,19,0,110,2,Some Random Commen with Id 105
106,20,0,63,8,Some Random Commen with Id 106
107,20,0,93,8,Some Random Commen with Id 107
108,20,0,143,4,Some Random Commen with Id 108
109,20,0,153,6,Some Random Commen with Id 109
110,20,0,131,4,Some Random Commen with Id 110
111,20,0,134,7,Some Random Commen with Id 111
112,20,0,75,8,Some Random Commen with Id 112
113,20,0,37,4,Some Random Commen with Id 113
114,21,6,163,5,Some Random Commen with Id 114
115,21,6,52,9,Some Random Commen with Id 115
116,21,6,79,8,Some Random Commen with Id 116
117,21,6,55,6,Some Random Commen with Id 117
118,22,7,42,6,Some Random Commen with Id 118
119,22,7,99,1,Some Random Commen with Id 119
120,22,7,179,4,Some Random Commen with Id 120
121,22,7,25,5,Some Random Commen with Id 121
122,22,7,181,7,Some Random Commen with Id 122
123,22,7,71,4,Some Random Commen with Id 123
124,22,7,6,2,Some Random Commen with Id 124
125,22,7,56,4,Some Random Commen with Id 125
126,23,0,189,4,Some Random Commen with Id 126
127,23,0,179,1,Some Random Commen with Id 127
128,24,5,106,3,Some Random Commen with Id 128
129,24,5,127,8,Some Random Commen with Id 129
130,26,6,126,7,Some Random Commen with Id 130
131,26,6,74,4,Some Random Commen with Id 131
132,26,6,179,4,Some Random Commen with Id 132
133,26,6,90,9,Some Random Commen with Id 133
134,26,6,147,9,Some Random Commen with Id 134
135,27,7,69,7,Some Random Commen with Id 135
136,27,7,184,2,Some Random Commen with Id 136
137,27,7,195,6,Some Random Commen with Id 137
138,27,7,172,1,Some Random Commen with Id 138
139,27,7,178,3,Some Random Commen with Id 139
140,27,7,102,2,Some Random Commen with Id 140
141,27,7,145,2,Some Random Commen with Id 141
142,27,7,103,1,Some Random Commen with Id 142
143,28,1,16,2,Some Random Commen with Id 143
144,28,1,101,6,Some Random Commen with Id 144
145,28,1,129,3,Some Random Commen with Id 145
146,28,1,42,2,Some Random Commen with Id 146
147,28,1,148,5,Some Random Commen with Id 147
148,28,1,5,6,Some Random Commen with Id 148
149,29,0,173,8,Some Random Commen with Id 149
150,29,0,82,1,Some Random Commen with Id 150
151,29,0,13,1,Some Random Commen with Id 151
152,29,0,165,5,Some Random Commen with Id 152
153,29,0,147,5,Some Random Commen with Id 153
154,29,0,18,2,Some Random Commen with Id 154
155,29,0,191,7,Some Random Commen with Id 155
156,29,0,131,6,Some Random Commen with Id 156
157,29,0,169,0,Some Random Commen with Id 157
158,30,7,187,9,Some Random Commen with Id 158
159,30,7,165,2,Some Random Commen with Id 159
160,30,7,6,7,Some Random Commen with Id 160
161,30,7,155,6,Some Random Commen with Id 161
162,30,7,128,1,Some Random Commen with Id 162
163,30,7,75,9,Some Random Commen with Id 163
164,30,7,74,1,Some Random Commen with Id 164
165,30,7,154,0,Some Random Commen with Id 165
166,30,7,64,0,Some Random Commen with Id 166
167,31,3,26,5,Some Random Commen with Id 167
168,31,3,69,8,Some Random Commen with Id 168
169,31,3,176,5,Some Random Commen with Id 169
170,31,3,142,5,Some Random Commen with Id 170
171,31,3,98,2,Some Random Commen with Id 171
172,31,3,145,1,Some Random Commen with Id 172
173,31,3,109,5,Some Random Commen with Id 173
174,31,3,194,5,Some Random Commen with Id 174
175,32,9,187,3,Some Random Commen with Id 175
176,32,9,63,2,Some Random Commen with Id 176
177,32,9,47,3,Some Random Commen with Id 177
178,32,9,32,4,Some Random Commen with Id 178
179,32,9,188,1,Some Random Commen with Id 179
180,32,9,177,2,Some Random Commen with Id 180
181,32,9,143,2,Some Random Commen with Id 181
182,33,9,115,3,Some Random Commen with Id 182
183,33,9,166,8,Some Random Commen with Id 183
184,33,9,44,4,Some Random Commen with Id 184
185,34,6,142,1,Some Random Commen with Id 185
186,34,6,189,3,Some Random Commen with Id 186
187,35,7,8,8,Some Random Commen with Id 187
188,35,7,57,1,Some Random Commen with Id 188
189,35,7,38,7,Some Random Commen with Id 189
190,35,7,153,5,Some Random Commen with Id 190
191,35,7,67,6,Some Random Commen with Id 191
192,35,7,60,8,Some Random Commen with Id 192
193,36,3,48,3,Some Random Commen with Id 193
194,36,3,81,9,Some Random Commen with Id 194
195,36,3,56,2,Some Random Commen with Id 195
196,36,3,199,5,Some Random Commen with Id 196
197,36,3,170,7,Some Random Commen with Id 197
198,37,4,58,3,Some Random Commen with Id 198
199,37,4,41,4,Some Random Commen with Id 199
200,37,4,180,3,Some Random Commen with Id 200
201,37,4,119,9,Some Random Commen with Id 201
202,37,4,119,7,Some Random Commen with Id 202
203,37,4,2,8,Some Random Commen with Id 203
204,38,8,198,5,Some Random Commen with Id 204
205,38,8,118,0,Some Random Commen with Id 205
206,38,8,82,4,Some Random Commen with Id 206
207,38,8,195,2,Some Random Commen with Id 207
208,38,8,137,6,Some Random Commen with Id 208
209,38,8,80,2,Some Random Commen with Id 209
210,38,8,54,9,Some Random Commen with Id 210
211,39,0,181,0,Some Random Commen with Id 211
212,39,0,83,4,Some Random Commen with Id 212
213,39,0,37,3,Some Random Commen with Id 213
214,39,0,66,2,Some Random Commen with Id 214
215,39,0,97,0,Some Random Commen with Id 215
216,39,0,58,9,Some Random Commen with Id 216
